filename,fl,fr,bl,br,trunk,az,el,dist,overlap,l1 angle error
1a64bf1e658652ddb11647ffa4306609_0_0_40_20_0_200_60_400.png,0,0,40,20,0,200,60,400,0.48977945934066763,9.0
1a64bf1e658652ddb11647ffa4306609_0_0_40_20_0_80_80_400.png,0,0,40,20,0,80,80,400,0.2551955873832335,5.0
216d910f71942f205df3c6413d40ccb2_20_0_40_20_0_240_60_400.png,20,0,40,20,0,240,60,400,0.8511983349336593,2.0
ba0ac1d1e25d3fad63f2c3a55558a78f_0_0_40_20_0_280_80_400.png,0,0,40,20,0,280,80,400,0.5889140113980736,14.0
3d693af6fbae47f9cfb661f69a0dfbbd_0_0_40_20_0_320_20_400.png,0,0,40,20,0,320,20,400,None,2.0
c4941d6a2266813c3a2b1a2e5e169910_40_0_40_20_0_80_20_400.png,40,0,40,20,0,80,20,400,0.4347436262324532,25.0
72ba2195087f80d8b7e8c57d131d2ca7_20_0_40_20_0_120_60_400.png,20,0,40,20,0,120,60,400,0.927455622621313,6.0
a387407d49e209fdeea60824a43a0b_20_0_40_20_0_320_60_400.png,20,0,40,20,0,320,60,400,0.16586734714498189,5.0
d2592adba4e8e62648368c1a2f71c5f3_20_0_40_20_0_80_60_400.png,20,0,40,20,0,80,60,400,0.5759569036928543,9.0
7c46bfff2f90f11044592db9be5db5c8_0_0_40_20_0_40_80_400.png,0,0,40,20,0,40,80,400,None,27.0
d72ffa185738bccd10b75223b5be6dbb_0_0_40_20_0_120_60_400.png,0,0,40,20,0,120,60,400,0.12542110832078754,3.0
7ccdf7bc2af0b068e43ab89cb5563740_0_0_40_20_0_200_80_400.png,0,0,40,20,0,200,80,400,0.2379480536798346,21.0
a88d69e53a01aab9ff1370452e3a0154_0_0_40_20_0_200_60_400.png,0,0,40,20,0,200,60,400,0.6243476454910978,2.0
9c827e532de4967285089a13cc567dbd_40_0_40_20_0_280_60_400.png,40,0,40,20,0,280,60,400,0.2208216981767049,36.0
cde88b5900e8dfba725a7749daae1afa_0_0_40_20_0_320_60_400.png,0,0,40,20,0,320,60,400,0.5230665715459295,19.0
1a64bf1e658652ddb11647ffa4306609_0_0_40_20_0_360_20_400.png,0,0,40,20,0,360,20,400,None,0.0
12f2905dc029f59a2479fbc7da5ed22b_0_0_40_20_0_320_60_400.png,0,0,40,20,0,320,60,400,0.36677296115953406,18.0
c61ec8875746ab78227375499b768057_40_0_40_20_0_320_60_400.png,40,0,40,20,0,320,60,400,0.4647567019996435,21.0
9c827e532de4967285089a13cc567dbd_40_0_40_20_0_80_20_400.png,40,0,40,20,0,80,20,400,0.18597284787015156,18.0
86c8a3137a716d70e742b0b5e87bec54_20_0_40_20_0_280_60_400.png,20,0,40,20,0,280,60,400,0.6236301965192266,13.0
a115d534edec6f89afe1d4530f4c6e24_40_0_40_20_0_0_60_400.png,40,0,40,20,0,0,60,400,0.4566777857014662,24.0
216d910f71942f205df3c6413d40ccb2_0_0_40_20_0_40_20_400.png,0,0,40,20,0,40,20,400,0.445944287040506,0.0
72ba2195087f80d8b7e8c57d131d2ca7_40_0_40_20_0_360_40_400.png,40,0,40,20,0,360,40,400,0.510747964746659,9.0
216d910f71942f205df3c6413d40ccb2_0_0_40_20_0_120_80_400.png,0,0,40,20,0,120,80,400,0.3086989877469871,9.0
a387407d49e209fdeea60824a43a0b_20_0_40_20_0_120_80_400.png,20,0,40,20,0,120,80,400,0.31029905094047777,15.0
d72ffa185738bccd10b75223b5be6dbb_40_0_40_20_0_360_40_400.png,40,0,40,20,0,360,40,400,0.42549881701663733,33.0
ac3585c59a80b822b4d8eb72d337b2e3_40_0_40_20_0_40_40_400.png,40,0,40,20,0,40,40,400,0.28409052908925214,36.0
7dac31838b627748eb631ba05bd8dfe_0_0_40_20_0_200_60_400.png,0,0,40,20,0,200,60,400,0.12767049417867288,8.0
825fb860d71c78a477c771b4b7eed82c_0_0_40_20_0_240_60_400.png,0,0,40,20,0,240,60,400,0.12824358953417464,5.0
d0cf2f187acda5736be7348aa770e4ca_20_0_40_20_0_160_80_400.png,20,0,40,20,0,160,80,400,0.36996754756590133,11.0
216d910f71942f205df3c6413d40ccb2_40_0_40_20_0_40_20_400.png,40,0,40,20,0,40,20,400,0.45005585496224215,0.0
425ba801e904cb50f3aaed7e86215c7b_40_0_40_20_0_0_60_400.png,40,0,40,20,0,0,60,400,0.3482204861111111,32.0
923007b377bb1cab473f10e6caaeca56_20_0_40_20_0_160_60_400.png,20,0,40,20,0,160,60,400,0.47901608170589755,6.0
7dac31838b627748eb631ba05bd8dfe_0_0_40_20_0_160_60_400.png,0,0,40,20,0,160,60,400,0.14001809759866402,2.0
12f2905dc029f59a2479fbc7da5ed22b_20_0_40_20_0_120_80_400.png,20,0,40,20,0,120,80,400,0.19097426576136886,14.0
7ccdf7bc2af0b068e43ab89cb5563740_40_0_40_20_0_0_40_400.png,40,0,40,20,0,0,40,400,0.45881767250065614,20.0
3d693af6fbae47f9cfb661f69a0dfbbd_40_0_40_20_0_40_60_400.png,40,0,40,20,0,40,60,400,0.1628966411665642,13.0
4ac021653126a29e98618a1ba17f086b_0_0_40_20_0_320_60_400.png,0,0,40,20,0,320,60,400,0.46793095714990884,24.0
ffe0a5b165461eb66a2345809e2bb169_40_0_40_20_0_280_20_400.png,40,0,40,20,0,280,20,400,0.3862414905051953,35.0
d0cf2f187acda5736be7348aa770e4ca_0_0_40_20_0_40_40_400.png,0,0,40,20,0,40,40,400,None,14.0
a115d534edec6f89afe1d4530f4c6e24_40_0_40_20_0_240_80_400.png,40,0,40,20,0,240,80,400,0.7265450490830002,17.0
1790131f5f74b1ed973aff268eb6b00c_40_0_40_20_0_240_80_400.png,40,0,40,20,0,240,80,400,0.8655098948179955,28.0
923007b377bb1cab473f10e6caaeca56_40_0_40_20_0_360_60_400.png,40,0,40,20,0,360,60,400,0.4445897456320183,31.0
9d2b7938d426633b28044fe9244db50a_0_0_40_20_0_80_60_400.png,0,0,40,20,0,80,60,400,None,16.0
9c827e532de4967285089a13cc567dbd_20_0_40_20_0_40_80_400.png,20,0,40,20,0,40,80,400,0.08154276745619847,10.0
1a64bf1e658652ddb11647ffa4306609_0_0_40_20_0_320_80_400.png,0,0,40,20,0,320,80,400,0.29035801212766305,15.0
aa9f41bc3925ffc4be9358e8c18dc481_40_0_40_20_0_240_80_400.png,40,0,40,20,0,240,80,400,0.30698426049362487,33.0
d2592adba4e8e62648368c1a2f71c5f3_40_0_40_20_0_240_60_400.png,40,0,40,20,0,240,60,400,0.6697345649482215,8.0
aa9f41bc3925ffc4be9358e8c18dc481_0_0_40_20_0_200_60_400.png,0,0,40,20,0,200,60,400,0.07333780345397987,3.0
825fb860d71c78a477c771b4b7eed82c_0_0_40_20_0_320_40_400.png,0,0,40,20,0,320,40,400,0.31708685144201504,1.0
5ec3322293a39816ad7e7cea4034d226_40_0_40_20_0_40_40_400.png,40,0,40,20,0,40,40,400,0.4781714299642713,31.0
ffe0a5b165461eb66a2345809e2bb169_0_0_40_20_0_0_40_400.png,0,0,40,20,0,0,40,400,0.324349621542139,4.0
425ba801e904cb50f3aaed7e86215c7b_0_0_40_20_0_320_40_400.png,0,0,40,20,0,320,40,400,0.27726107220148144,7.0
c61ec8875746ab78227375499b768057_0_0_40_20_0_40_40_400.png,0,0,40,20,0,40,40,400,0.6265351518211452,8.0
7c7e5b4fa56d8ed654b40bc735c6fdf6_20_0_40_20_0_200_80_400.png,20,0,40,20,0,200,80,400,0.8520474810828681,11.0
